,Country,Order ID,Total Cost,Total Profit
1656,Japan,160710084,2385072.6,374088.0
1657,Slovenia,933495700,512885.92,123346.25
1658,Finland,878749883,15036.67,7407.18
1659,Vanuatu,302771461,179867.82,88604.28
1660,Guinea-Bissau,932171761,329512.96,675207.36
1661,Iceland,963874614,123072.24,74003.92
1662,Kosovo,915116345,247921.87,187545.03
1663,Malawi,473445785,13729.28,4781.44
1664,Slovakia,746724259,41466.88,84970.08
1665,Comoros,213125598,726415.2,411068.7
1666,Honduras,571136128,381645.92,91783.75
1667,Guinea,889554679,281415.68,576650.88
1668,Dominica,757492578,438739.14,194014.52
1669,Uganda,734373652,201485.02,99253.08
1670,Montenegro,999934232,146851.95,101954.95
1671,Belgium,904223144,307399.68,629894.88
1672,Serbia,317601716,2140820.4,706009.8
1673,Iceland,980743777,154879.11,68488.98
1674,United Arab Emirates,654635655,14826.06,8914.98
1675,Mali,770576179,4971371.2,1195587.5
1676,Costa Rica,580176675,960664.92,577652.36
1677,United Kingdom,305360972,228598.72,172927.68
1678,San Marino,688365399,740743.96,244286.02
1679,Cameroon,741738784,931650.48,560205.84
1680,Albania,898342454,265446.5,130761.0
1681,Ethiopia,761350238,3394899.21,532474.8
1682,Switzerland,454248464,561707.2,135087.5
1683,Germany,170835959,1513650.48,499178.76
1684,Tonga,625224053,3289626.84,1084868.58
1685,Portugal,801836574,30546.28,20168.92
1686,Gabon,205409848,2107652.76,695071.62
1687,Pakistan,210992705,3158463.9,1041613.05
1688,Taiwan,913946473,538851.18,374108.38
1689,Malaysia,679944980,67013.28,23338.44
1690,Honduras,194974553,3232703.68,777447.5
1691,Burundi,215334022,257273.41,169870.99
1692,Laos,217634713,163946.79,113823.39
1693,Solomon Islands,648800456,530549.76,319022.08
1694,Ukraine,676067578,266425.25,201542.25
1695,Afghanistan,436984908,1259904.0,303000.0
1696,Tunisia ,589413774,4768602.06,1572611.97
1697,Grenada,961528003,3195149.32,1053711.34
1698,Nigeria,101813924,281594.88,577018.08
1699,Cambodia,229070365,210237.44,430799.04
1700,Malaysia,482408654,153968.64,315498.24
1701,Denmark,971252620,371721.84,258075.44
1702,Bhutan,525338590,294533.12,603529.92
1703,Comoros,744715392,1761414.37,1163016.43
1704,Kiribati,149744355,772403.98,254727.01
1705,Cuba,931099307,961201.76,231163.75
1706,Macedonia,399766576,2282544.44,1507105.16
1707,Jamaica,437044990,20962.69,15857.61
1708,Tunisia ,744545876,3279073.5,1081388.25
1709,The Gambia,194193065,155707.42,76702.68
1710,Slovakia,878222882,411185.46,285473.86
1711,Bahrain,459184157,93562.17,41374.06
1712,Malta,719938218,535426.92,405033.48
1713,Albania,813658893,59525.84,20730.82
1714,Haiti,413832509,572731.36,137738.75
1715,Eritrea,164257895,1022838.72,615037.76
1716,Senegal,329046380,31503.89,15519.06
1717,Ukraine,342621791,3011245.33,472300.4
1718,Lebanon,159720456,1852864.98,611046.51
1719,Ghana,705391204,5137783.52,1235608.75
1720,Nauru,724995362,61996.98,27415.64
1721,Zambia,834206759,1462359.66,879323.78
1722,Angola,369011723,52758.08,18373.84
1723,Panama,535709083,1863586.41,1230477.99
1724,Turkmenistan,360910165,50822.69,33556.91
1725,Senegal,741538798,649340.16,367452.96
1726,Liechtenstein,394831311,4312021.44,1037017.5
1727,Gabon,808336532,1888806.08,454247.5
1728,Lesotho,389915788,574071.42,345191.86
1729,The Gambia,317742908,549399.06,381431.46
1730,Mozambique,490304219,403694.24,97086.25
1731,Greenland,876398551,2447363.52,588577.5
1732,Czech Republic,165137231,1746141.23,1152931.97
1733,China,715944087,148475.4,65657.2
1734,Estonia,908555448,316025.92,76002.5
1735,Italy,993020141,2930326.72,704727.5
1736,Bahrain,839699494,732534.9,440476.7
1737,South Korea,389267337,272608.2,163920.6
1738,France,102709996,1520183.5,501333.25
1739,Comoros,511326301,609032.3,95524.0
1740,Central African Republic,866727578,1410127.24,465038.38
1741,Yemen,490837657,4334407.5,1429421.25
1742,United Arab Emirates,125892865,304706.43,211548.63
1743,Zambia,584442031,1313461.38,789790.54
1744,Estonia,499346482,3452136.96,830220.0
1745,Kyrgyzstan,373780047,845486.88,478449.78
1746,San Marino,331229054,247045.12,506221.92
1747,Latvia,565492331,70500.22,53331.18
1748,Slovakia,890681207,443827.73,69612.4
1749,Nigeria,291219508,3607734.66,1189775.67
1750,Macedonia,971843564,1428722.04,859097.32
1751,Costa Rica,707602202,648998.82,390246.06
1752,The Bahamas,493856751,239138.62,180900.78
1753,Cambodia,496281039,3443767.67,540139.6
1754,Russia,500861394,443010.96,307569.36
1755,Sao Tome and Principe,363896644,630984.36,379413.88
1756,Nauru,461998116,396818.52,275499.32
1757,Vanuatu,342089641,409993.76,98601.25
1758,South Korea,971407544,1163370.74,880053.06
1759,Nicaragua,687500655,38592.84,13440.57
1760,Mongolia,148230302,1274591.55,199914.0
1761,Iraq,981770312,233210.88,477874.08
1762,Costa Rica,836607015,860379.66,597336.06
1763,Cyprus,131539237,134726.02,66367.08
1764,Finland,705678308,150938.92,74353.68
1765,Samoa ,868448054,971409.82,320356.09
1766,Monaco,349584805,797183.31,553460.71
1767,Czech Republic,749137389,477928.08,331811.28
1768,Afghanistan,587467133,1725722.36,569116.82
1769,Madagascar,255247867,1244680.16,299338.75
1770,Japan,663465917,1660448.48,399328.75
1771,South Korea,993420112,1981012.68,653307.66
1772,Uganda,946721780,776056.56,466646.48
1773,Japan,295294749,825012.89,544734.71
1774,Madagascar,231375348,4001223.48,1319542.26
1775,Zimbabwe,217512404,1477017.97,975236.83
1776,Cambodia,236567246,1148118.8,758073.2
1777,Taiwan,341713702,2510324.89,1657502.71
1778,Taiwan,206438100,58653.92,20427.16
1779,Bulgaria,474539268,887809.98,533844.34
1780,Swaziland,510128533,656878.32,456051.12
1781,Moldova ,647629725,390002.94,172462.92
1782,Latvia,841779172,1020.06,451.08
1783,Saint Lucia,217625701,4796034.56,1153420.0
1784,Fiji,220530641,854743.68,483688.08
1785,Kosovo,566167819,17704.96,36279.36
1786,North Korea,590523564,283136.0,580176.0
1787,Denmark,599896705,91862.07,40622.26
1788,United States of America,520898568,154721.28,317040.48
1789,Latvia,350452983,553459.2,313195.2
1790,San Marino,605796277,1185287.7,712719.1
1791,Guinea,974477279,812357.28,459702.18
1792,Vietnam,764357316,4813883.2,1157712.5
1793,Sierra Leone,253610217,1236142.68,743298.44
1794,Nepal,240722310,223053.12,98636.16
1795,Hungary,694492423,31804.32,11076.36
1796,Thailand,304031884,274856.34,135396.36
1797,Kuwait,528764522,739226.63,115944.4
1798,Belgium,648426663,1363893.56,449791.22
1799,Canada,913067138,1503877.63,992971.57
1800,Uganda,293047273,456476.85,201858.3
1801,Madagascar,529040896,216082.71,95553.78
1802,Spain,282034337,4768211.68,1146728.75
1803,Botswana,983326423,250700.8,513712.8
1804,Sudan,984528481,153632.37,67937.66
1805,Maldives,507564342,4421738.08,1063403.75
1806,Philippines,294670331,57809.68,20133.14
1807,Jordan,258395278,990120.8,653751.2
1808,Portugal,831600511,2087153.58,1378093.62
1809,Monaco,717459857,8096.4,2819.7
1810,Ukraine,939459645,1538110.53,1015574.67
1811,Slovenia,791398704,47237.12,96793.92
1812,South Korea,987388360,510766.71,225865.78
1813,Armenia,511852443,669881.31,465078.71
1814,Vietnam,669527280,2499949.95,392106.0
1815,Tonga,135461699,282329.94,124848.92
1816,Laos,805017030,40786.57,20091.78
1817,China,143867099,226645.44,128255.64
1818,Kosovo,637998235,3522481.6,847137.5
1819,Maldives,343709266,10362.3,6230.9
1820,Uganda,537611520,18234.5,2860.0
1821,Malaysia,766628825,216811.2,130369.6
1822,Benin,197997510,4968.56,1730.38
1823,Iran,769266402,12995.76,4525.98
1824,Papua New Guinea,438296830,35532.09,15712.62
1825,Mauritius ,833262622,1559446.44,937702.52
1826,Iceland,502650105,490808.01,371280.69
1827,Burundi,765258109,3010645.6,724043.75
1828,Burkina Faso,760197961,57609.0,20063.25
1829,Burundi,596893489,339970.33,257176.77
1830,East Timor,905081021,643051.86,424590.54
1831,Bhutan,584809386,249016.32,510261.12
1832,Malta,856439912,824050.08,466318.98
1833,Laos,310646426,342060.12,151262.16
1834,Democratic Republic of the Congo,758415257,28062.72,57503.52
1835,Antigua and Barbuda ,481045234,302328.01,47418.8
1836,Honduras,980147683,2310311.15,362362.0
1837,Ireland,227646434,1638552.17,256999.6
1838,Egypt,315777814,530156.97,401046.93
1839,Cote d'Ivoire,707090651,429158.64,258055.12
1840,Botswana,484446275,2652390.37,416015.6
1841,China,601018512,944828.04,623845.56
1842,Burkina Faso,730293691,817187.91,567349.31
1843,Kiribati,616070640,54308.16,18913.68
1844,Tonga,522460687,1049302.44,630950.52
1845,Liechtenstein,783887660,841199.52,476023.62
1846,Saint Vincent and the Grenadines,455087888,4761063.96,1570126.02
1847,Dominican Republic,461110198,91182.03,40321.54
1848,Papua New Guinea,447315919,870745.68,604532.88
1849,East Timor,129378879,177049.6,362793.6
1850,Slovenia,643285405,682972.96,164251.25
1851,Nepal,495334327,64286.8,22388.9
1852,India,512136971,88745.22,39243.96
1853,Bhutan,690617167,1246983.24,749816.92
1854,Honduras,648011243,350586.88,718390.08
1855,Rwanda,971868026,3255276.96,782876.25
1856,Barbados,970048844,1253838.3,753938.9
1857,Japan,920727527,252467.04,142867.74
1858,Malta,722390401,7248.12,3570.48
1859,United Arab Emirates,343836295,696069.15,483260.15
1860,Tuvalu,274176537,368810.4,208704.9
1861,Montenegro,172834956,258358.53,114248.54
1862,Cyprus,219547879,1267548.42,762182.86
1863,Eritrea,664364135,2361016.78,1558918.42
1864,Comoros,477645051,421915.2,292923.2
1865,Guatemala,500064456,822007.2,570695.2
1866,Comoros,292608678,4338794.4,1043456.25
1867,Central African Republic,386576545,1433831.85,946722.15
1868,Thailand,933579385,2885082.14,951455.93
1869,Federated States of Micronesia,355541026,706071.2,169806.25
1870,Bhutan,294697797,44855.44,15621.62
1871,Canada,663598525,136291.35,60269.3
1872,Saint Vincent and the Grenadines,995104539,281181.11,212704.59
1873,South Africa,892389667,215790.52,106300.08
1874,Guatemala,478940236,283637.76,581204.16
1875,Saint Vincent and the Grenadines,848555076,292360.53,129284.54
1876,Burundi,915345513,355998.72,729479.52
1877,Liberia,563735377,179064.4,118231.6
1878,East Timor,198460996,2073460.42,1369052.38
1879,Portugal,294571197,4734089.28,1138522.5
1880,Saint Kitts and Nevis ,947427308,581723.58,349793.14
1881,Philippines,522703158,4375541.6,1052293.75
1882,Hungary,606385076,59996.16,122938.56
1883,Hungary,154771888,64328.32,22403.36
1884,Zimbabwe,444474923,281722.98,138778.92
1885,Libya,122418010,181493.76,371900.16
1886,Estonia,155837476,262212.09,115952.62
1887,Lesotho,682282149,685072.8,164756.25
1888,East Timor,559613358,31646.72,64847.52
1889,Vatican City,516004931,2254148.89,353553.2
1890,Saudi Arabia,899943196,326013.9,196033.7
1891,Singapore,330226981,56912.94,34222.02
1892,Malaysia,645967614,180167.68,369182.88
1893,Poland,156588923,250772.48,513859.68
1894,San Marino,391827237,2433695.86,1606906.54
1895,Ethiopia,251731383,160491.45,111424.45
1896,The Gambia,956662690,1739031.32,1148237.48
1897,Lithuania,197294986,89806.75,44239.5
1898,Romania,684614598,138941.04,96462.64
1899,Sri Lanka,699920356,47716.14,21100.52
1900,Latvia,844823586,244370.24,161351.36
1901,Kenya,891248118,1051530.69,795449.61
1902,Guatemala,231430280,151173.12,309769.92
1903,Grenada,127918899,92191.0,45414.0
1904,Kosovo,563575303,527839.62,317392.46
1905,Tuvalu,691573321,403694.24,97086.25
1906,Bosnia and Herzegovina,185399281,148588.74,65707.32
1907,Nicaragua,588852012,1633757.54,538788.23
1908,Afghanistan,366042840,883293.6,499844.1
1909,Montenegro,751395595,319073.37,221523.17
1910,Papua New Guinea,799646604,327608.1,196992.3
1911,El Salvador,535844695,1149099.36,690958.88
1912,Malaysia,505351197,111392.16,54872.64
1913,Canada,423839938,244671.84,138456.54
1914,Bhutan,527297246,711800.04,494181.64
1915,Zimbabwe,222021949,9720.13,7352.97
1916,Belize,334625375,707133.91,110910.8
1917,Botswana,862031352,280791.84,194945.44
1918,Mauritius ,521476209,188267.52,385780.32
1919,Tonga,800508773,1893342.7,1250125.3
1920,North Korea,106990373,943608.96,533975.76
1921,Andorra,519094836,17548.08,8644.32
1922,Mauritius ,135308492,5062714.24,1217555.0
1923,Oman,724430167,1400409.6,219648.0
1924,Zimbabwe,975571191,326811.0,196513.0
1925,Equatorial Guinea,548155391,21047.04,11910.24
1926,Liechtenstein,521919095,3172535.02,1046253.49
1927,Cambodia,246911132,486111.78,337492.98
1928,Costa Rica,493492829,30102.0,10483.5
1929,Russia,302338016,51152.64,17814.72
1930,Tonga,134433019,32415.24,14334.32
1931,Lesotho,521076667,251596.8,515548.8
1932,Monaco,713880288,60273.84,29691.36
1933,Sudan,934767711,2696153.17,422879.6
1934,Samoa ,125975263,2820877.15,442442.0
1935,Kiribati,900051772,488934.25,369863.25
1936,Togo,989858567,526.66,347.74
1937,Iceland,898569476,198231.04,406196.64
1938,Guinea,749670827,176357.04,77986.72
1939,South Africa,736961448,120367.08,53227.44
1940,Iceland,674552667,1047790.07,691828.73
1941,Georgia,446868312,49263.48,17156.79
1942,Kenya,458644711,236210.87,178686.03
1943,Bangladesh,284930694,561856.47,390080.27
1944,Albania,921087586,63248.8,22027.4
1945,Qatar,732789218,1966811.77,1298635.03
1946,Lithuania,406021916,2570890.79,1697492.81
1947,Cote d'Ivoire,697084510,830196.08,273785.96
1948,Tuvalu,182588326,418918.08,100747.5
1949,Lithuania,209457194,951308.22,313726.89
1950,Laos,844927442,437391.13,288798.07
1951,Poland,426547896,138199.04,283184.64
1952,Marshall Islands,512179887,1123102.45,741555.55
1953,Belarus,929997241,668112.55,505405.95
1954,Azerbaijan,228486287,354257.75,267984.75
1955,El Salvador,626445853,789653.76,446854.56
1956,Vatican City,362987267,1770205.26,277648.8
1957,Austria,447534358,238977.39,105678.02
1958,Nepal,609823453,4811783.36,1157207.5
1959,Antigua and Barbuda ,649903380,1136786.77,859943.13
1960,Azerbaijan,888135468,3958005.04,1305289.48
1961,Mali,815193545,1438390.4,345925.0
1962,Albania,442063939,632159.78,478208.82
1963,Djibouti,750045478,142607.36,292217.76
1964,Somalia,540749490,1378345.32,828805.56
1965,Tunisia ,486099803,642032.16,363317.46
1966,Singapore,878332746,398560.11,176246.98
1967,Greenland,279997146,729829.52,552092.88
1968,Iran,473954331,1243283.96,410016.02
1969,China,613378131,34142.46,16818.84
1970,Vanuatu,371754872,1495837.86,899454.38
1971,Ireland,392883384,12310.68,4287.39
1972,Hungary,940874993,455434.56,257724.36
1973,Greenland,550153529,48002.9,23646.6
1974,Georgia,975455319,2830359.09,443929.2
1975,Benin,441829192,2162976.39,339253.2
1976,Saudi Arabia,394636476,19998.72,40979.52
1977,Kuwait,549550998,844499.31,557601.09
1978,Cuba,242559087,3926175.84,944223.75
1979,Malawi,679959571,468674.22,354537.18
1980,Iran,888363778,2732812.52,901239.74
1981,Lithuania,864695537,144211.2,81607.2
1982,Mongolia,226191174,375144.0,212289.0
1983,Jordan,460399520,152711.44,115521.36
1984,El Salvador,875181901,165867.52,339880.32
1985,Costa Rica,848712146,431597.87,284972.93
1986,Albania,279476583,256002.46,193657.74
1987,Saudi Arabia,936274039,100106.71,49313.34
1988,Uganda,608215844,23797.88,8287.99
1989,Singapore,754725825,62266.16,21685.18
1990,United States of America,655540311,4094688.0,984750.0
1991,Georgia,560708129,2437319.0,803790.5
1992,Sweden,340590608,3771312.64,906980.0
1993,Liechtenstein,835861575,4656395.2,1119837.5
1994,Czech Republic,707507359,190898.95,94038.3
1995,Kiribati,486826789,97472.4,43103.2
1996,Mali,325431191,617352.96,148470.0
1997,Sudan,445244395,639791.04,362049.24
1998,Bangladesh,688502728,67140.48,33073.92
1999,Lithuania,967755019,883878.24,500174.94
2000,Morocco,815862596,265129.63,41584.4
2001,Kiribati,735999286,720958.56,407980.86
2002,Tuvalu,851651418,81321.45,35961.1
2003,Azerbaijan,456617820,79385.6,162669.6
2004,Turkmenistan,265009820,112056.0,63411.0
2005,Tonga,161251246,2436858.58,382210.4
2006,Cameroon,550078427,2445019.05,1614382.95
2007,Grenada,106540191,2357720.85,369798.0
2008,Papua New Guinea,725997865,3897700.24,1285401.88
2009,Moldova ,774125277,1139128.97,861714.93
2010,Ukraine,936908757,95101.44,53816.64
2011,Vietnam,170647132,49360.36,17190.53
2012,Thailand,651951730,1543113.8,1018878.2
2013,Botswana,127746379,179971.68,101843.58
2014,Seychelles ,465267407,177340.8,100354.8
2015,Israel,902063643,65968.36,22974.53
2016,Cambodia,295996415,27668.48,56695.68
2017,Tajikistan,275239551,265573.66,130823.64
2018,Afghanistan,288279378,3742439.84,900036.25
2019,Vietnam,753914725,874621.44,494936.64
2020,Kazakhstan,811256921,4097837.76,985507.5
2021,Israel,569729793,2292084.94,755894.53
2022,Guinea,659069669,79421.44,162743.04
2023,Macedonia,879325377,123550.5,74291.5
2024,Honduras,650858247,1193759.04,287092.5
2025,Yemen,364342105,1522047.4,1004968.6
2026,Vietnam,930763280,280244.23,211995.87
2027,Luxembourg,631420600,63725.86,42076.54
2028,Vietnam,967925393,1111139.68,840541.92
2029,Guinea-Bissau,812201488,262492.16,537874.56
2030,Benin,456485211,168479.91,74503.38
2031,Greenland,263325393,1412142.4,339612.5
2032,Cambodia,215583360,269862.54,119335.72
2033,Tajikistan,366432940,1642928.45,257686.0
2034,Ethiopia,389360463,525217.56,232256.08
2035,Kuwait,928164756,401921.52,304040.88
2036,Trinidad and Tobago,446957147,398993.77,301826.13
2037,Central African Republic,180161464,94474.24,193587.84
2038,Madagascar,982514035,1735871.36,1146151.04
2039,Malawi,179063689,53837.6,18749.8
2040,Portugal,115171754,71715.84,40583.04
2041,East Timor,506512057,251883.52,516136.32
2042,Morocco,689070928,14450.85,6390.3
2043,Ethiopia,969147193,7238.32,2520.86
2044,Rwanda,373352181,328724.04,197663.32
2045,Lebanon,698609721,169783.32,75079.76
2046,Lithuania,662156140,1467011.43,968629.77
2047,Poland,851540267,59117.56,20588.63
2048,Libya,574623429,85737.63,42235.02
2049,Fiji,109579455,331576.17,146626.06
2050,Liberia,254894673,1251925.26,752788.58
2051,Croatia,979367911,2036428.96,319404.8
2052,New Zealand,972110497,285071.36,584141.76
2053,Canada,792546260,88183.2,49901.7
2054,The Gambia,620411527,1266728.48,304641.25
2055,Ethiopia,705755126,1969708.4,1300547.6
2056,Spain,918938386,112680.96,230895.36
2057,Latvia,300635135,124436.48,254983.68
2058,Cote d'Ivoire,211831700,1663715.78,260946.4
2059,Algeria,283826911,540915.15,239197.7
2060,Somalia,668232095,419370.91,317240.79
2061,Marshall Islands,686971080,4652720.48,1118953.75
2062,Nepal,182280194,544882.05,240951.9
2063,Kiribati,866708266,254141.44,520763.04
2064,Dominica,473116624,145534.62,71691.48
2065,Barbados,404679095,381332.64,229297.12
2066,Albania,784882009,280919.52,158968.62
2067,Sweden,907524192,1429881.9,944114.1
2068,Federated States of Micronesia,586716973,81888.15,36211.7
2069,Burkina Faso,606884181,297872.3,146734.2
2070,Benin,472762143,5081087.84,1221973.75
2071,Yemen,659399688,962317.44,544562.64
2072,Cote d'Ivoire,362158143,65719.24,22887.77
2073,Cameroon,646711337,1345879.63,888649.57
2074,Burkina Faso,399045598,2671000.1,880854.95
2075,Jamaica,375459754,915070.8,550236.4
2076,Czech Republic,952565133,1065433.18,703478.02
2077,Vanuatu,777285563,1297163.58,856483.62
2078,Democratic Republic of the Congo,816857373,182927.36,374837.76
2079,Tonga,308829391,1328606.28,798897.24
2080,Azerbaijan,811062943,146970.07,23051.6
2081,Brunei,351731860,658245.18,395805.94
2082,Kuwait,179322469,138540.82,68246.28
2083,The Gambia,712633597,473955.66,284991.78
2084,Nicaragua,190776574,1416091.27,222107.6
2085,Vietnam,523175227,782540.64,442829.34
2086,Switzerland,539565885,762902.7,529660.7
2087,France,939997375,1307960.11,863612.29
2088,Vietnam,244831025,890750.28,618421.48
2089,Liberia,644740664,227778.95,172307.55
2090,Malaysia,350712621,17389.96,6056.33
2091,Azerbaijan,344045722,345103.36,707153.76
2092,Singapore,326351296,314254.08,218177.28
2093,Hungary,969553172,115368.96,65285.76
2094,Austria,765887677,198582.72,112375.32
2095,Grenada,977903640,72258.67,35595.18
2096,East Timor,688462388,9917.25,4385.5
2097,Andorra,850737750,96385.8,66917.8
2098,Barbados,238216054,207229.47,143873.27
2099,Maldives,394696128,1308838.2,787010.6
2100,Bangladesh,684289300,2763914.4,664706.25
2101,Australia,541419398,670971.84,379694.04
2102,Belgium,820822751,1362562.74,819315.42
2103,Vanuatu,647548186,724947.49,478664.11
2104,Gabon,566957032,644056.8,387274.4
2105,Republic of the Congo,294723117,2086716.0,501843.75
2106,Zambia,966832768,720929.16,545360.04
2107,The Gambia,189584815,68854.05,30447.9
2108,Costa Rica,589590585,102629.37,45383.66
2109,South Korea,363773906,2785137.53,436836.4
2110,Madagascar,929371106,210061.72,69275.14
2111,Kenya,173931014,504759.69,223209.42
2112,South Sudan,105314958,353808.63,245638.83
2113,Germany,101696765,839496.04,554297.56
2114,Hungary,961562764,778195.95,588680.55
2115,Portugal,853711783,7909.56,2754.63
2116,Malaysia,267255151,2039711.17,319919.6
2117,Cambodia,661616694,2983579.98,983939.01
2118,India,416532742,8500.5,3759.0
2119,Libya,682052123,102840.65,50660.1
2120,Antigua and Barbuda ,428536164,15424.68,5371.89
2121,Norway,496658694,8297.08,2889.59
2122,Israel,447406041,43215.4,15050.45
2123,Moldova ,812077033,17740.8,36352.8
2124,Equatorial Guinea,842282998,289638.69,142678.26
2125,Kyrgyzstan,759947764,501933.46,379696.74
2126,Tunisia ,407307660,22095.99,15340.59
2127,Vatican City,596911513,261822.44,128975.76
2128,China,861620652,88008.51,38918.18
2129,Turkey,804608905,267729.6,64387.5
2130,Honduras,549362599,1963388.48,1296374.72
2131,Zimbabwe,289680564,63472.64,130062.24
2132,Namibia,739674127,275756.22,121941.96
2133,Monaco,883767116,1890552.96,296524.8
2134,Chad,226695859,101632.63,50065.02
2135,Tuvalu,143509185,583043.16,404789.56
2136,United States of America,729568421,510950.93,386518.17
2137,Bhutan,350547397,1319813.11,207006.8
2138,Zambia,592432439,99599.36,204089.76
2139,Bahrain,411522376,1191026.82,716170.06
2140,Dominican Republic,184428536,37070.44,12910.37
2141,Italy,358074748,567870.2,187274.9
2142,Saint Kitts and Nevis ,999697339,48098.27,23693.58
2143,Rwanda,446845138,8297.19,4087.26
2144,Greece,257379472,1658873.6,398950.0
2145,Papua New Guinea,259474170,797363.24,526478.36
2146,Bulgaria,801615560,267085.71,118107.78
2147,Monaco,502602469,8547.42,5934.22
2148,Albania,301546227,110566.4,226562.4
2149,Bahrain,307870662,32005.0,11146.25
2150,Croatia,251312100,900575.9,681257.1
2151,Estonia,831919372,832951.96,130644.8
2152,Djibouti,570053803,232557.28,55928.75
2153,Ireland,756389224,325212.55,214729.45
2154,Laos,501911962,2099885.02,329357.6
2155,Palau,787920844,781165.98,122522.4
2156,Turkmenistan,416027200,19640.32,40245.12
2157,China,958154857,2151142.77,1420344.03
2158,Samoa ,906540143,29264.68,10191.89
2159,Democratic Republic of the Congo,623731887,2503151.74,825501.13
2160,Tanzania,992591416,848994.72,480434.82
2161,Slovenia,266292560,67379.13,46779.33
2162,Montenegro,818321645,765085.02,531175.82
2163,Cambodia,592477500,1609736.29,1062867.31
2164,Luxembourg,752871453,39536.16,23773.28
2165,Libya,733927333,679448.04,408555.32
2166,Sierra Leone,490381467,424875.08,321404.52
2167,Tunisia ,947282683,77472.36,53786.76
2168,Singapore,849992311,245681.28,59085.0
2169,Belize,814184176,367902.78,255423.98
2170,Botswana,175844609,2604162.28,858812.86
2171,Niger,141272437,1187091.64,783805.96
2172,Hungary,637078988,32420.2,11290.85
2173,Samoa ,760188090,306244.68,135424.24
2174,Tunisia ,127836072,4403889.44,1059111.25
2175,Egypt,227571761,280595.56,212261.64
2176,Haiti,367256486,799982.4,452699.4
2177,Nigeria,825064074,581723.58,349793.14
2178,Brunei,599480855,4494707.52,1080952.5
2179,Benin,559305655,68002.84,23683.07
2180,Syria,293649804,578042.01,401317.41
2181,Belize,361937129,2057398.76,678498.62
2182,Greece,943903958,32171.48,15847.92
2183,Djibouti,489599120,205988.16,116565.96
2184,Botswana,669383943,141115.81,69514.74
2185,Belize,523932254,65233.08,32134.32
2186,Republic of the Congo,514230382,277023.16,182911.24
2187,Guinea,271577155,535192.7,404856.3
2188,Belarus,847583901,246881.14,121615.56
2189,Syria,664174449,451796.28,271667.24
2190,Romania,463585126,363265.35,252204.35
2191,Israel,158364760,17348.44,6041.87
2192,Vatican City,181374680,867758.88,208691.25
2193,Bhutan,135788714,279463.26,168042.58
2194,China,145093190,184719.36,378509.76
2195,Italy,403086936,451121.53,70756.4
2196,Guinea,723881280,50606.08,103697.28
2197,Tunisia ,991900050,374813.46,260221.86
2198,Malawi,711879575,3588914.29,562905.2
2199,Kenya,358868682,711209.03,538007.07
2200,Moldova ,928228700,275676.94,208540.86
2201,Kosovo,785633456,837433.26,503552.58
2202,Kuwait,617069280,107036.93,52727.22
2203,Guinea,278834998,612768.91,404595.49
2204,Zimbabwe,147541940,555025.98,245437.64
2205,Niger,670113933,41736.87,28976.67
2206,Jamaica,113787305,275706.51,182041.89
2207,Ghana,416110885,622205.43,470678.67
2208,Nicaragua,434946000,512410.14,226592.52
2209,Tonga,898466479,286296.84,126603.12
2210,Serbia,355158650,4300472.32,1034240.0
2211,Egypt,123821341,10840.39,5340.06
2212,Solomon Islands,243565881,37451.04,13042.92
2213,Syria,823816096,423376.8,239583.3
2214,Iraq,694308316,18333.3,11023.9
2215,Kosovo,555091369,434578.92,261314.36
2216,Ireland,726526582,151065.6,309549.6
2217,India,699287784,1331118.5,208780.0
2218,Thailand,484361302,249210.08,188519.52
2219,Niger,163045966,4083663.84,982098.75
2220,Pakistan,336953103,69652.38,48357.58
2221,Equatorial Guinea,778006541,4160528.66,1372078.67
2222,Democratic Republic of the Congo,878442609,929967.36,526256.16
2223,Zambia,100810134,46129.38,20398.84
2224,East Timor,227970445,34098.75,23673.75
2225,Kenya,413097369,1293190.74,202831.2
2226,Ireland,329677236,2798995.75,439010.0
2227,Cambodia,621508872,404680.47,178953.46
2228,Swaziland,652703607,299514.88,613738.08
2229,The Bahamas,757685267,2500384.48,601328.75
2230,Spain,891190183,166765.62,115780.42
2231,Belize,178267180,117590.25,51999.5
2232,United Kingdom,964277589,3507.24,2108.92
2233,Serbia,264895236,3801760.32,914302.5
2234,Slovenia,116106450,2674636.46,419504.8
2235,Papua New Guinea,824210059,29469.33,14516.82
2236,Pakistan,515817391,180117.72,118927.08
2237,New Zealand,987852275,200118.05,98579.7
2238,Ghana,957551038,65643.12,22861.26
2239,Jamaica,112462508,877934.4,496811.4
2240,Luxembourg,460448014,320412.18,141689.24
2241,Kosovo,479681384,230032.44,113315.76
2242,Republic of the Congo,968648946,351076.32,198669.42
2243,Kiribati,996149528,859359.52,206671.25
2244,Serbia,151294457,129665.12,31183.75
2245,Israel,793507564,523837.44,296432.64
2246,Ghana,402525174,2624275.04,631123.75
2247,Croatia,128396117,130943.01,64503.54
2248,Sao Tome and Principe,741481721,952281.12,538883.22
2249,Gabon,382455813,587465.76,332439.06
2250,Bosnia and Herzegovina,412304723,62176.2,21653.85
2251,Egypt,462327277,100305.9,44356.2
2252,Zimbabwe,684134805,1118049.17,845768.73
2253,Slovenia,399651134,527697.66,399186.54
2254,Eritrea,351112592,49472.91,21877.38
2255,Uganda,451068007,354887.68,727202.88
2256,Myanmar,232378709,1779322.51,279078.8
